course_id,course_title,clean_title
2,Introduction to Tableau,Introduction to Tableau
3,"The Complete Data Visualization Course with Python, R, Tableau, and Excel",The Complete Data Visualization Course with Python R Tableau and Excel
4,Introduction to R Programming,Introduction to R Programming
5,Data Preprocessing with NumPy,Data Preprocessing with NumPy
7,Introduction to Data and Data Science,Introduction to Data and Data Science
11,Data Cleaning and Preprocessing with pandas,Data Cleaning and Preprocessing with pandas
12,Introduction to Business Analytics,Introduction to Business Analytics
13,Data Analysis with Excel Pivot Tables,Data Analysis with Excel Pivot Tables
14,SQL,SQL
15,Credit Risk Modeling in Python,Credit Risk Modeling in Python
16,Python Programmer Bootcamp,Python Programmer Bootcamp
19,SQL + Tableau + Python,SQL  Tableau  Python
20,Introduction to Jupyter,Introduction to Jupyter
21,Statistics,Statistics
22,Mathematics,Mathematics
23,Introduction to Excel,Introduction to Excel
24,Probability,Probability
25,"Starting a Career in Data Science: Project Portfolio, Resume, and Interview Process",Starting a Career in Data Science Project Portfolio Resume and Interview Process
26,SQL + Tableau,SQL  Tableau
27,Time Series Analysis with Python,Time Series Analysis with Python
28,Power BI,Power BI
29,Product Management for AI & Data Science,Product Management for AI  Data Science
30,Git and GitHub,Git and GitHub
32,Deep Learning with TensorFlow 2,Deep Learning with TensorFlow 2
33,Customer Analytics in Python,Customer Analytics in Python
34,Web Scraping and API Fundamentals in Python,Web Scraping and API Fundamentals in Python
35,Introduction to Python,Introduction to Python
36,Python for Finance,Python for Finance
37,Machine Learning in Python,Machine Learning in Python
39,Advanced Microsoft Excel,Advanced Microsoft Excel
41,Convolutional Neural Networks with TensorFlow in Python,Convolutional Neural Networks with TensorFlow in Python
42,Data Strategy,Data Strategy
43,Fashion Analytics with Tableau,Fashion Analytics with Tableau
44,Dates and Times in Python,Dates and Times in Python
45,SQL for Data Science Interviews,SQL for Data Science Interviews
46,Data Literacy,Data Literacy
48,AI Applications for Business Success,AI Applications for Business Success
49,Linear Algebra and Feature Selection,Linear Algebra and Feature Selection
50,Machine Learning with Naïve Bayes,Machine Learning with Nave Bayes
51,Machine Learning in Excel,Machine Learning in Excel
52,Machine Learning with Support Vector Machines,Machine Learning with Support Vector Machines
53,A/B Testing in Python,AB Testing in Python
54,Machine Learning with Decision Trees and Random Forests,Machine Learning with Decision Trees and Random Forests
55,Machine Learning with K-Nearest Neighbors,Machine Learning with KNearest Neighbors
56,Machine Learning with Ridge and Lasso Regression,Machine Learning with Ridge and Lasso Regression
57,Data-Driven Business Growth,DataDriven Business Growth
