student_id,exam_id,student_country,exam_result,exam_completion_time,date_exam_completed,date_exam_completed_m,date_exam_completed_m_n
258803,408,US,83.0,3.38,2022-07-26,7,July
258803,475,US,86.4,2.218,2022-01-10,1,January
258803,478,US,100.0,9.95,2022-01-02,1,January
258815,380,EG,41.75,7.1425,2022-01-01,1,January
258818,380,IN,39.0,8.256666666666666,2022-01-04,1,January
258818,401,IN,67.0,9.0,2022-03-08,3,March
258818,402,IN,100.0,4.23,2022-03-12,3,March
258818,408,IN,75.0,1.5,2022-04-30,4,April
258818,500,IN,50.0,3.14,2022-06-03,6,June
258818,510,IN,50.0,3.415,2022-01-18,1,January
258822,368,IN,75.0,3.63,2022-01-09,1,January
258822,369,IN,66.5,1.795,2022-01-10,1,January
258822,370,IN,83.0,3.02,2022-01-10,1,January
258822,371,IN,37.5,36.95,2022-01-12,1,January
258822,375,IN,67.0,18.45,2022-01-18,1,January
258822,415,IN,0.0,10.0,2022-01-01,1,January
258822,513,IN,100.0,19.7,2022-01-18,1,January
258822,519,IN,83.0,10.57,2022-01-20,1,January
258822,520,IN,66.5,23.755000000000003,2022-01-26,1,January
258832,530,IN,100.0,12.62,2022-03-21,3,March
258832,531,IN,17.0,6.47,2022-03-22,3,March
258832,563,IN,100.0,6.03,2022-03-06,3,March
258832,564,IN,67.0,7.58,2022-03-11,3,March
258832,565,IN,33.0,10.47,2022-03-13,3,March
258883,368,US,33.0,4.78,2022-01-05,1,January
258906,368,EG,75.0,2.4400000000000004,2022-01-15,1,January
258906,380,EG,77.66666666666667,3.35,2022-01-29,1,January
258906,381,EG,91.5,5.86,2022-01-29,1,January
258908,385,US,17.0,16.0,2022-01-03,1,January
258908,448,US,100.0,3.18,2022-01-20,1,January
258908,449,US,100.0,3.45,2022-01-20,1,January
258913,368,US,83.5,1.745,2022-01-03,1,January
258913,369,US,58.0,2.3000000000000003,2022-01-03,1,January
258913,370,US,91.5,1.57,2022-01-03,1,January
258913,380,US,91.5,3.5900000000000003,2022-01-04,1,January
258913,381,US,100.0,11.63,2022-01-04,1,January
258913,382,US,75.0,3.71,2022-01-05,1,January
258913,401,US,66.5,5.2250000000000005,2022-07-06,7,July
258913,439,US,66.5,2.5949999999999998,2022-04-11,4,April
258913,518,US,50.0,0.49,2022-01-27,1,January
258913,519,US,50.0,0.52,2022-01-27,1,January
258913,520,US,58.5,3.725,2022-01-27,1,January
258913,616,US,100.0,3.82,2022-04-19,4,April
258913,635,US,78.0,2.936666666666667,2022-05-18,5,May
258913,684,US,100.0,5.67,2022-07-11,7,July
258922,368,US,75.0,4.510000000000001,2022-01-04,1,January
258922,369,US,61.0,5.29,2022-01-05,1,January
258922,370,US,83.5,3.54,2022-01-05,1,January
258929,368,US,75.0,2.24,2022-03-02,3,March
258951,380,EG,83.0,9.08,2022-01-26,1,January
258956,368,IN,83.5,4.09,2022-05-02,5,May
258956,369,IN,83.0,4.3,2022-05-03,5,May
258956,370,IN,83.5,2.54,2022-05-05,5,May
258956,616,IN,100.0,5.28,2022-04-15,4,April
258956,617,IN,83.0,8.65,2022-04-18,4,April
258956,618,IN,75.0,8.39,2022-04-23,4,April
258956,684,IN,100.0,5.18,2022-07-13,7,July
259011,368,GB,75.0,3.265,2022-01-04,1,January
259011,380,GB,83.0,8.8,2022-01-05,1,January
259011,478,GB,100.0,6.65,2022-01-15,1,January
259011,479,GB,100.0,13.62,2022-01-17,1,January
259011,480,GB,100.0,4.92,2022-01-18,1,January
259011,481,GB,100.0,8.67,2022-02-04,2,February
259011,523,GB,83.0,3.47,2022-04-19,4,April
259011,524,GB,100.0,3.32,2022-04-20,4,April
259011,525,GB,100.0,3.22,2022-04-20,4,April
259011,526,GB,100.0,14.32,2022-04-20,4,April
259011,563,GB,100.0,4.77,2022-03-02,3,March
259011,564,GB,83.0,5.37,2022-03-03,3,March
259011,565,GB,75.0,15.16,2022-03-12,3,March
259011,566,GB,73.0,50.0,2022-03-17,3,March
259011,635,GB,100.0,6.22,2022-04-09,4,April
259011,636,GB,50.0,10.24,2022-04-17,4,April
259011,637,GB,83.0,100.0,2022-04-20,4,April
259026,368,GB,67.0,3.67,2022-01-03,1,January
259026,369,GB,83.0,4.17,2022-01-06,1,January
259026,370,GB,75.0,2.98,2022-01-10,1,January
259026,478,GB,50.0,6.58,2022-04-16,4,April
259026,479,GB,67.0,10.92,2022-04-23,4,April
259026,480,GB,100.0,5.92,2022-04-30,4,April
259026,520,GB,33.0,24.23,2022-03-13,3,March
259039,420,US,83.0,6.1,2022-01-03,1,January
259039,421,US,75.0,4.655,2022-01-03,1,January
259039,518,US,50.0,20.0,2022-01-28,1,January
259039,519,US,33.0,20.0,2022-02-03,2,February
259042,707,EG,50.0,1.95,2022-08-18,8,August
259042,708,EG,50.0,1.42,2022-08-18,8,August
259042,709,EG,33.0,0.97,2022-08-18,8,August
259042,710,EG,17.0,0.6,2022-08-18,8,August
259042,711,EG,37.0,2.87,2022-08-18,8,August
259080,239,NG,50.0,3.62,2022-01-08,1,January
259088,380,IN,72.75,2.13125,2022-01-06,1,January
259088,381,IN,66.66666666666667,1.5533333333333335,2022-01-06,1,January
259093,380,EG,67.0,9.33,2022-01-08,1,January
259093,381,EG,83.0,6.47,2022-01-08,1,January
259106,368,GB,77.66666666666667,1.2666666666666666,2022-01-03,1,January
259106,369,GB,91.5,1.425,2022-01-05,1,January
259106,371,GB,63.0,9.55,2022-04-01,4,April
259106,380,GB,75.0,2.2750000000000004,2022-01-31,1,January
259106,420,GB,79.25,2.0675,2022-01-16,1,January
259106,421,GB,72.16666666666667,1.4266666666666667,2022-01-16,1,January
259106,422,GB,83.5,3.5,2022-01-16,1,January
259106,423,GB,60.5,10.565,2022-01-16,1,January
259106,443,GB,75.0,6.975,2022-01-28,1,January
259106,552,GB,91.5,5.375,2022-02-20,2,February
259106,565,GB,66.66666666666667,4.546666666666667,2022-03-05,3,March
259106,566,GB,71.5,16.05,2022-03-19,3,March
259110,380,US,91.5,2.765,2022-01-07,1,January
259121,368,IN,66.5,2.005,2022-01-08,1,January
259155,97,US,50.0,3.12,2022-01-03,1,January
259155,451,US,55.666666666666664,1.8933333333333333,2022-01-12,1,January
259171,368,US,83.5,1.2249999999999999,2022-01-04,1,January
259171,369,US,50.0,1.5133333333333334,2022-01-26,1,January
259171,370,US,83.0,2.18,2022-01-26,1,January
259171,371,US,67.0,14.22,2022-01-26,1,January
259171,380,US,100.0,5.4,2022-01-26,1,January
259171,534,US,61.0,5.026666666666666,2022-02-03,2,February
259171,535,US,33.0,8.4,2022-02-04,2,February
259178,368,IN,58.0,2.84,2022-06-12,6,June
259257,408,IN,66.5,1.915,2022-01-04,1,January
259257,415,IN,66.5,0.76,2022-01-04,1,January
259257,416,IN,75.0,0.9750000000000001,2022-01-04,1,January
259258,98,US,50.0,4.07,2022-03-13,3,March
259258,365,US,83.0,4.33,2022-01-14,1,January
259258,366,US,83.0,5.3,2022-01-14,1,January
259258,367,US,83.0,3.02,2022-01-14,1,January
259258,368,US,100.0,0.87,2022-01-05,1,January
259258,369,US,100.0,2.7,2022-01-05,1,January
259258,370,US,67.0,4.65,2022-01-05,1,January
259258,371,US,71.0,20.93,2022-01-05,1,January
259258,375,US,100.0,9.23,2022-01-06,1,January
259258,376,US,83.0,9.67,2022-01-06,1,January
259258,377,US,83.5,13.0,2022-01-13,1,January
259258,378,US,100.0,15.53,2022-01-12,1,January
259258,379,US,67.0,57.85,2022-01-14,1,January
259258,425,US,83.0,6.93,2022-01-17,1,January
259258,426,US,46.0,35.52,2022-01-17,1,January
259258,451,US,100.0,20.5,2022-01-16,1,January
259258,452,US,67.0,10.77,2022-01-24,1,January
259258,453,US,58.5,17.975,2022-03-09,3,March
259258,454,US,100.0,6.72,2022-03-13,3,March
259258,455,US,80.0,92.07,2022-03-13,3,March
259258,500,US,83.0,8.2,2022-03-30,3,March
259258,635,US,50.0,7.03,2022-05-04,5,May
259260,708,GB,83.0,10.33,2022-09-07,9,September
259262,500,US,100.0,11.63,2022-03-19,3,March
259262,510,US,83.5,1.77,2022-02-20,2,February
259262,656,US,58.5,5.175,2022-06-05,6,June
259266,380,EG,91.5,4.085,2022-01-04,1,January
259266,381,EG,83.5,5.325,2022-01-04,1,January
259276,380,US,58.0,7.59,2022-01-04,1,January
259276,381,US,75.0,7.425,2022-01-04,1,January
259305,478,GB,78.0,2.25,2022-01-05,1,January
259305,479,GB,91.5,7.95,2022-01-07,1,January
259305,480,GB,100.0,5.83,2022-01-10,1,January
259305,481,GB,83.5,3.75,2022-02-21,2,February
259318,375,US,100.0,17.28,2022-01-05,1,January
259366,375,IN,33.0,18.35,2022-01-06,1,January
259384,380,NG,0.0,10.0,2022-01-16,1,January
259398,432,US,67.0,4.38,2022-01-08,1,January
259398,433,US,67.0,11.43,2022-01-10,1,January
259398,435,US,0.0,40.0,2022-01-10,1,January
259400,380,EG,77.66666666666667,1.2166666666666666,2022-01-12,1,January
259401,368,US,83.0,10.0,2022-01-06,1,January
259408,239,IN,83.33333333333333,3.016666666666667,2022-01-06,1,January
259408,380,IN,100.0,9.77,2022-01-06,1,January
259408,478,IN,83.5,2.425,2022-02-03,2,February
259445,380,US,75.0,2.6500000000000004,2022-01-06,1,January
259451,368,IN,50.0,2.1733333333333333,2022-01-21,1,January
