dayname,minutes_watched,date_watched,weekday,date_watched_m,date_watched_m_n,student_country
Saturday,0.3,2022-01-01,5,1,January,IN
Saturday,62.6,2022-01-01,5,1,January,US
Monday,43.6,2022-01-03,0,1,January,US
Sunday,86.8,2022-01-02,6,1,January,US
Tuesday,42.9,2022-01-04,1,1,January,US
Wednesday,21.4,2022-01-05,2,1,January,US
Saturday,52.8,2022-01-08,5,1,January,US
Sunday,28.3,2022-01-09,6,1,January,US
Monday,19.3,2022-01-10,0,1,January,US
Tuesday,37.9,2022-01-11,1,1,January,US
Sunday,0.7,2022-01-16,6,1,January,US
Tuesday,67.1,2022-02-01,1,2,February,US
Sunday,1.6,2022-04-17,6,4,April,US
Monday,6.8,2022-02-21,0,2,February,US
Monday,6.9,2022-06-27,0,6,June,US
Tuesday,52.0,2022-07-26,1,7,July,US
Saturday,44.7,2022-07-30,5,7,July,US
Thursday,3.5,2022-07-28,3,7,July,US
Friday,0.1,2022-07-29,4,7,July,US
Sunday,41.0,2022-07-31,6,7,July,US
Saturday,1.8,2022-01-01,5,1,January,US
Saturday,3.2,2022-01-01,5,1,January,IN
Saturday,2.2,2022-01-01,5,1,January,IN
Saturday,4.9,2022-01-01,5,1,January,IN
Wednesday,3.9,2022-01-26,2,1,January,IN
Saturday,29.0,2022-01-01,5,1,January,EG
Saturday,0.4,2022-01-01,5,1,January,IN
Friday,6.7,2022-02-18,4,2,February,IN
Wednesday,0.2,2022-06-01,2,6,June,IN
Wednesday,18.0,2022-02-23,2,2,February,IN
Friday,51.9,2022-06-03,4,6,June,IN
Saturday,0.4,2022-06-04,5,6,June,IN
Thursday,7.1,2022-03-03,3,3,March,IN
Friday,12.3,2022-03-04,4,3,March,IN
Monday,5.8,2022-03-07,0,3,March,IN
Tuesday,24.0,2022-03-08,1,3,March,IN
Wednesday,30.5,2022-03-09,2,3,March,IN
Friday,18.5,2022-03-11,4,3,March,IN
Saturday,19.4,2022-03-12,5,3,March,IN
Tuesday,27.6,2022-05-10,1,5,May,IN
Wednesday,69.1,2022-05-11,2,5,May,IN
Thursday,8.7,2022-05-12,3,5,May,IN
Sunday,34.7,2022-03-13,6,3,March,IN
Tuesday,18.6,2022-03-15,1,3,March,IN
Wednesday,27.2,2022-03-16,2,3,March,IN
Friday,27.3,2022-03-18,4,3,March,IN
Thursday,10.2,2022-03-17,3,3,March,IN
Sunday,15.8,2022-03-20,6,3,March,IN
Monday,18.1,2022-03-21,0,3,March,IN
Tuesday,17.0,2022-03-22,1,3,March,IN
Thursday,13.4,2022-03-24,3,3,March,IN
Tuesday,32.9,2022-03-29,1,3,March,IN
Wednesday,29.4,2022-03-30,2,3,March,IN
Tuesday,13.9,2022-07-26,1,7,July,IN
Wednesday,3.0,2022-07-27,2,7,July,IN
Thursday,10.5,2022-04-07,3,4,April,IN
Wednesday,34.6,2022-01-05,2,1,January,IN
Wednesday,30.5,2022-01-19,2,1,January,IN
Tuesday,43.6,2022-01-04,1,1,January,IN
Monday,27.1,2022-01-10,0,1,January,IN
Tuesday,45.0,2022-01-11,1,1,January,IN
Wednesday,14.4,2022-01-12,2,1,January,IN
Thursday,19.0,2022-01-13,3,1,January,IN
Friday,9.2,2022-01-14,4,1,January,IN
Monday,28.2,2022-01-17,0,1,January,IN
Tuesday,18.8,2022-01-18,1,1,January,IN
Thursday,18.6,2022-01-20,3,1,January,IN
Friday,39.8,2022-01-21,4,1,January,IN
Sunday,19.5,2022-01-23,6,1,January,IN
Monday,5.9,2022-01-24,0,1,January,IN
Tuesday,24.0,2022-01-25,1,1,January,IN
Wednesday,27.8,2022-01-26,2,1,January,IN
Thursday,18.6,2022-01-27,3,1,January,IN
Friday,11.7,2022-01-28,4,1,January,IN
Saturday,6.9,2022-01-29,5,1,January,IN
Monday,3.8,2022-01-31,0,1,January,IN
Tuesday,7.6,2022-02-01,1,2,February,IN
Wednesday,4.9,2022-02-09,2,2,February,IN
Thursday,20.2,2022-02-10,3,2,February,IN
Friday,15.9,2022-02-11,4,2,February,IN
Saturday,22.0,2022-02-12,5,2,February,IN
Sunday,4.9,2022-02-13,6,2,February,IN
Wednesday,7.8,2022-02-16,2,2,February,IN
Thursday,2.0,2022-02-17,3,2,February,IN
Friday,40.0,2022-01-07,4,1,January,IN
Thursday,15.6,2022-04-28,3,4,April,IN
Friday,12.0,2022-04-29,4,4,April,IN
Saturday,10.2,2022-04-30,5,4,April,IN
Sunday,4.1,2022-06-19,6,6,June,IN
Wednesday,28.7,2022-03-23,2,3,March,IN
Thursday,15.5,2022-01-06,3,1,January,IN
Monday,15.1,2022-02-14,0,2,February,IN
Wednesday,32.7,2022-08-17,2,8,August,IN
Tuesday,15.7,2022-02-15,1,2,February,IN
Wednesday,12.8,2022-09-14,2,9,September,IN
Thursday,3.0,2022-09-15,3,9,September,IN
Friday,11.1,2022-09-16,4,9,September,IN
Monday,17.8,2022-09-19,0,9,September,IN
Friday,2.7,2022-08-19,4,8,August,IN
Thursday,20.9,2022-03-31,3,3,March,IN
Sunday,4.8,2022-06-12,6,6,June,IN
Friday,6.7,2022-04-01,4,4,April,IN
Wednesday,5.8,2022-04-06,2,4,April,IN
Monday,12.8,2022-01-03,0,1,January,IN
Sunday,49.9,2022-01-09,6,1,January,IN
