course_id,student_id,course_rating,date_rated
5,260345,5,2022-08-16
11,260345,5,2022-09-30
14,260345,5,2022-07-12
27,260345,5,2022-10-15
44,260345,5,2022-10-12
5,260465,5,2022-07-20
11,260465,4,2022-08-22
32,260465,4,2022-08-31
37,260465,5,2022-07-04
44,260465,4,2022-10-16
54,260465,5,2022-09-26
2,260754,5,2022-10-04
11,260754,5,2022-09-07
13,260754,5,2022-09-24
23,260754,5,2022-09-23
30,260754,5,2022-06-30
34,260754,5,2022-06-28
39,260754,5,2022-09-29
44,260754,5,2022-09-09
50,260754,5,2022-09-15
55,260754,5,2022-09-13
5,261393,5,2022-06-27
7,261393,4,2022-07-12
14,261393,4,2022-07-13
21,261393,5,2022-07-11
35,261393,4,2022-06-26
11,261412,5,2022-07-18
27,261412,5,2022-10-03
49,261412,5,2022-09-12
54,261412,5,2022-09-08
55,261412,5,2022-09-16
3,262569,5,2022-09-11
7,262569,5,2022-08-30
14,262569,5,2022-08-01
20,262569,5,2022-08-31
35,262569,5,2022-08-31
2,262643,5,2022-09-01
3,262643,5,2022-08-04
4,262643,5,2022-08-24
11,262643,5,2022-07-01
14,262643,5,2022-09-16
16,262643,5,2022-08-26
21,262643,5,2022-08-19
27,262643,5,2022-09-27
33,262643,5,2022-09-09
35,262643,5,2022-08-31
43,262643,5,2022-08-02
53,262643,5,2022-09-05
25,263690,4,2022-08-04
27,263690,4,2022-07-18
41,263690,4,2022-10-13
50,263690,4,2022-08-08
54,263690,4,2022-08-10
55,263690,4,2022-08-16
2,263825,5,2022-09-15
7,263825,5,2022-08-26
13,263825,4,2022-09-11
16,263825,4,2022-10-05
21,263825,2,2022-09-29
23,263825,5,2022-08-29
35,263825,5,2022-10-01
39,263825,5,2022-09-13
3,265092,5,2022-06-18
5,265092,5,2022-07-03
11,265092,5,2022-07-15
35,265092,5,2022-06-17
46,265092,5,2022-09-09
3,265130,5,2022-08-02
13,265130,4,2022-07-31
21,265130,5,2022-08-01
35,265130,5,2022-08-02
39,265130,5,2022-07-31
16,266001,5,2022-09-28
21,266001,5,2022-07-18
22,266001,5,2022-07-14
24,266001,5,2022-09-20
35,266001,5,2022-06-16
54,266001,5,2022-10-13
11,266012,5,2022-06-27
14,266012,5,2022-07-04
21,266012,5,2022-07-17
22,266012,5,2022-07-21
24,266012,5,2022-07-26
37,266012,5,2022-07-27
4,266512,5,2022-06-20
5,266512,5,2022-09-26
14,266512,5,2022-07-26
21,266512,5,2022-09-15
24,266512,5,2022-07-11
7,266619,5,2022-08-11
20,266619,5,2022-08-18
23,266619,5,2022-08-12
30,266619,5,2022-08-18
35,266619,5,2022-08-18
42,266619,5,2022-08-12
46,266619,5,2022-08-18
2,266814,5,2022-07-31
21,266814,5,2022-07-14
37,266814,5,2022-07-16
45,266814,5,2022-07-15
54,266814,5,2022-07-19
7,267106,5,2022-10-09
14,267106,5,2022-07-12
20,267106,5,2022-10-12
22,267106,5,2022-10-07
42,267106,5,2022-10-13
46,267106,5,2022-10-19
3,268011,5,2022-08-01
5,268011,5,2022-06-24
11,268011,5,2022-07-09
13,268011,5,2022-06-27
22,268011,5,2022-06-19
24,268011,5,2022-06-22
26,268011,5,2022-07-14
30,268011,5,2022-07-07
39,268011,5,2022-07-10
16,268287,5,2022-09-10
20,268287,5,2022-08-09
21,268287,5,2022-08-20
22,268287,5,2022-08-15
23,268287,5,2022-09-22
24,268287,5,2022-07-25
28,269040,4,2022-10-06
37,269040,4,2022-08-18
50,269040,4,2022-08-22
52,269040,4,2022-09-22
54,269040,4,2022-09-20
55,269040,4,2022-09-23
3,269204,5,2022-08-31
5,269204,5,2022-08-19
11,269204,5,2022-08-23
13,269204,5,2022-07-26
14,269204,5,2022-09-19
16,269204,5,2022-08-07
25,269204,5,2022-08-15
28,269204,4,2022-06-17
34,269204,5,2022-10-08
44,269204,5,2022-08-26
52,269204,5,2022-09-16
54,269204,5,2022-09-12
55,269204,5,2022-09-10
7,269540,5,2022-06-23
13,269540,5,2022-08-07
14,269540,5,2022-10-07
21,269540,5,2022-08-22
23,269540,5,2022-08-02
39,269540,5,2022-08-09
14,270671,5,2022-09-29
16,270671,5,2022-08-26
20,270671,5,2022-09-26
22,270671,5,2022-09-27
24,270671,5,2022-08-24
16,271519,4,2022-08-06
20,271519,4,2022-07-23
22,271519,4,2022-08-29
35,271519,4,2022-07-22
46,271519,4,2022-08-19
5,271664,5,2022-07-11
11,271664,5,2022-07-26
16,271664,5,2022-06-25
20,271664,5,2022-07-01
21,271664,5,2022-08-23
22,271664,5,2022-06-27
25,271664,5,2022-08-02
30,271664,5,2022-08-14
37,271664,5,2022-08-17
14,271991,5,2022-08-11
16,271991,5,2022-07-04
20,271991,5,2022-08-24
22,271991,5,2022-07-06
32,271991,4,2022-09-13
37,271991,5,2022-08-30
50,271991,5,2022-09-26
52,271991,5,2022-09-24
4,272510,5,2022-08-30
16,272510,5,2022-10-02
21,272510,5,2022-10-01
23,272510,5,2022-10-16
30,272510,5,2022-09-03
32,272842,5,2022-06-30
34,272842,5,2022-07-23
37,272842,5,2022-06-21
41,272842,5,2022-07-09
48,272842,5,2022-08-11
49,272842,5,2022-06-27
50,272842,5,2022-06-22
52,272842,5,2022-06-24
53,272842,5,2022-08-07
54,272842,5,2022-06-23
3,272965,4,2022-06-22
14,272965,4,2022-06-28
16,272965,4,2022-09-14
28,272965,4,2022-06-29
30,272965,4,2022-09-24
4,273580,5,2022-07-05
11,273580,5,2022-07-04
14,273580,5,2022-08-02
16,273580,5,2022-09-08
23,273580,5,2022-06-28
28,273580,5,2022-07-14
37,273580,5,2022-07-05
2,274039,5,2022-06-16
3,274039,5,2022-07-15
13,274039,5,2022-07-15
14,274039,5,2022-08-28
16,274039,4,2022-07-10
35,274039,5,2022-06-16
